,original,corrected,native
732,"I am native Spanish speaker from Bogotá, Colombia. I would like to improve my English and meet nice people and other culture. it will be a pleasure to teach Spanish.","I am a native Spanish speaker from Bogotá, Colombia. I would like to improve my English and meet nice people and other cultures. It will be a pleasure to teach Spanish.",Spanish
733,"Hello all, I am a Spanish guy that loves to travel and meet people from other countries! I have lived in Australia and Italy and I would like to make new friends from other nationalities.","Hello all, I am a Spanish guy that loves to travel and meet people from other countries! I have lived in Australia and Italy, and I would like to make new friends from other nationalities.",Spanish
734,"I love the english language and I would like to improve my english speaking. My hobby is the landscape and nature photography. Also, I like portrait photography and bring out the inner beauty of my models.","I love the English language, and I would like to improve my English speaking skills. My hobby is landscape and nature photography. Also, I like portrait photography to bring out the inner beauty of my models.",Spanish
735,I am 40 years old. I want to improve my English conversation. My mother tongue is Spanish and I propose you to converse part of the time in english to improve my fluency and part of the time in spanish. I can help you to improve your vocabulary. I really would like we feel both improve after each meet.,"I am 40 years old. I want to improve my English conversation. My mother tongue is Spanish, and I propose you converse part of the time in English to improve my fluency and part of the time in Spanish. I can help you to improve your vocabulary. I really would like us both to improve after each meet.",Spanish
736,"I will like to subsribe here because of language exchange, given that I like a lot learning new languages and also giving others the opportunity to do the same. I would like to talk with open-minded persons and to have good time, learn and keep languages and help people to do the same.","I will like to subscribe here because of the language exchange, given that I like a lot learning new languages and also giving others the opportunity to do the same. I would like to talk with open-minded persons and to have a good time, learn and keep languages and help people to do the same.",Spanish<br/>Catalan
737,"Hi, I'm María and I want to practise speaking English, I'm available on weekends. ( women only)","Hi, I'm Mara, and I want to practice speaking English. I'm available on weekends. (Women only)",Spanish
738,"I lived in DC for 3 years, but I spent most of my time speaking Spanish, so I'm looking for the opportunity to improve my English conversation (I'm not very fluent now).","I lived in DC for 3 years, but I spent most of my time speaking Spanish, so I'm looking for the opportunity to improve my English conversation (I'm not very fluent now).",Spanish
739,"Hi, I'm from Lima and eager to improve my english and french skills in exchange for my spanish around a cup of coffee or online.","Hi, I'm from Lima and eager to improve my English and French skills in exchange for my Spanish around a cup of coffee or online.",Spanish
740,"!, I'm from a small city of Basque Country,just in the middle of the 3 main cities, at 30km from the coast. I want to improve my basic english and i also want to learn French. Nowadays, i'm working at France and i want to start learning french to be able to communicate with the people in usual and basic situations. However, i want to get better my level in english to don´t commit typical spanish mistakes. In other hand, i can help improving his spanish or to start learning basque.","I'm from a small city in Basque Country, just in the middle of the 3 main cities, at 30km from the coast. I want to improve my basic English and I also want to learn French. Nowadays, I'm working in France, and I want to start learning French to be able to communicate with the people in usual and basic situations. However, I want to get better at my level in English to not commit typical Spanish mistakes. On the other hand, I can help improve his Spanish or start learning Basque.",Spanish<br/>Basque
741,"Hi, I am here to improve my english and to learn polish. I can help with spanish and catalan.","Hi, I am here to improve my English and to learn Polish. I can help with Spanish and Catalan.",Spanish
742,"I'm Aya and I would love to practice my english, as I feel it's been a little bit left behind. I'm a PR and an artists, so I enjoy everything between arts and communications. Musical theatre is my passion, and I enjoy very much talking about that. I have a personal business about all things London and I spend most of my days researching about that city. On the other hand, I love to read and I'm doing a challenge to read as much as I can during this month. I love creativity and positive vibes.","I'm Aya, and I would love to practice my English, as I feel it's been a little bit left behind. I'm a PR and an artist, so I enjoy everything between arts and communications. Musical theatre is my passion, and I enjoy talking about that. I have a personal business about all things London, and I spend most of my days researching that city. On the other hand, I love to read, and I'm doing a challenge to read as much as I can this month. I love creativity and positive vibes.",Spanish
743,"Spanish speaker, I am looking forward to keep on learning and practicing my English level and I'd like to help others with their spanish level.","Spanish speaker, I am looking forward to keep on learning and practicing my English, and I'd like to help others with their Spanish level.",Spanish
744,Hi guys this is Rayford Charles and I am From Nicaragua and my native Lqnguage It's Spainsh so If You want to practice your Spanish Don't Hesitate Just Sent Me a Message I am Gonna Help you Guys And I wanna make friends to practice my english too at the same time!!,"Hi guys, this is Rayford Charles, and I am from Nicaragua, and my native language is Spanish, so if you want to practice your Spanish, don't Hesitate! Just send me a Message. I am Gonna Help you Guys, And I wanna make friends to practice my English too at the same time!!",Spanish
745,"Hi everyone, I would like to practice my English conversation and I could help you with your Spanish, if you are interested don't hesitate and send me a message.","Hi everyone, I would like to practice my English conversation, and I could help you with your Spanish. If you are interested, don't hesitate and send me a message.",Spanish
746,"I would like to improve my English pronunciation as I find it difficult to adapt to sound better. I can teach Spanish from Spain or Basque. I am punctual and responsible :)
Let's help each other to reach the next level!",I would like to improve my English pronunciation as I find it difficult to adapt to sound better. I can teach Spanish from Spain or Basque. I am punctual and responsible :) Let's help each other to reach the next level!,Spanish<br/>Basque
747,Hi eveyone¡¡¡¡I'm interested in improving my fluency in English as I watch a lot of documentaries and films in this language and it is very useful in my travels. I am very interested in European history and especially in the former Yugoslavia and the Balkans. I would like to share travel experiences of other travellers. I also studied Italian years ago but now I have a little bit of Italian but I would like to refresh it. My last trips have been Scotland and Puglia.,"Hi everyone I'm interested in improving my fluency in English as I watch a lot of documentaries and films in this language, and it is very useful in my travels. I am very interested in European history and especially in former Yugoslavia and the Balkans. I would like to share the travel experiences of other travelers. I also studied Italian years ago, but now I have a little bit of Italian, but I would like to refresh it. My last trips were to Scotland and Puglia.",Spanish
748,"Hi, I'm living in Edinburgh and I would like to practice and improve my English, and I can help you with Spanish. I'm an open mind person and I like sports (football / surf / ..), travel, movies, stay with friends, meet new people.. Fancy for drink a cup of coffee?","Hi, I'm living in Edinburgh, and I would like to practice and improve my English, and I can help you with Spanish. I'm an open mind person, and I like sports (football / surfing / ..), travel, movies, staying with friends, meeting new people.. Fancy a drink a cup of coffee?",Spanish
749,I want to improve my English to get the firstcertificate. Also to become more fluency with this language.,"I want to improve my English to get the first certificate in English, and also to become more fluent in this language.",Spanish<br/>Catalan
750,I would like to practice english with someone face to face in Barcelona having a coffee or a beer.,"I would like to practice English with someone face to face in Barcelona, having a coffee or a beer.",Spanish<br/>Catalan
751,"I am kind of serious person, easy going, I like to travel (that's why I'm learning another language).","I am a kind of serious person, easy going, I like to travel (that's why I'm learning another language).",Spanish
752,I invite you to speak 2 days a week for 1 hour in English and another hour in Spanish. With that I can improve a lot because I need it for my work.,"I invite you to speak 2 days a week for 1 hour in English and another hour in Spanish. With that, I can improve a lot because I need it for my work.",Spanish
753,"I'm Elizabeth, from Mexico. I'm looking for a conversation exchange partner to practice my English. If you are learning Spanish or you are interested in Mexican Culture I could help you! I also started learning japanese by my own recently. Feel free to text me.","I'm Elizabeth, from Mexico. I'm looking for a conversation exchange partner to practice my English. If you are learning Spanish or you are interested in Mexican culture, I could help you! I also started learning Japanese by myself recently. Feel free to text me.",Spanish
754,"Greetings partners,
Thanks for taking the time to read this profile. I am a married woman who is middle aged. I also live with my family in Havana , Cuba . In fact, I would like to help someone who has a Spanish intermediate level and is interested in improving his or her knowledge about Cuba ( culture , history , society , etc )
P.S. I am not looking for any affair. Thanks
Sincerely,
Ida","Greetings partners, Thanks for taking the time to read this profile. I am a married woman who is middle-aged. I also live with my family in Havana, Cuba. In fact, I would like to help someone who has a Spanish intermediate level and is interested in improving his or her knowledge of Cuba (culture, history, society, etc. ) P.S. I am not looking for any affair. Thanks sincerely, Ida",Spanish
755,I'm Spanish and live in Sweden and I want to improve my English. I can speak Swedish aswell. I really interested av languages exchange and learning about your cultures. Let me know if you want exchange languages with me!,"I'm Spanish and live in Sweden, and I want to improve my English. I can speak Swedish aswell. I am really interested in language exchange and learning about your cultures. Let me know if you want to exchange languages with me!",Spanish
756,I would like to meet people from different parts of the world,I would like to meet people from different parts of the world.,Spanish
757,"Hello, I am a 21-year-old girl who lives in Barcelona, ​​I am currently a student. And I would like to learn English.","Hello, I am a 21-year-old girl who lives in Barcelona. I am currently a student, and I would like to learn English.",Spanish<br/>Catalan
758,"Living in London, want to improve English and meet people","Living in London, I want to improve my English and meet people.",Spanish
759,"Hello i´m from Valencia and I'am studying english for long time. I have had several conversation exchanges and I think it is a great way to learn a language. I want to practice my english spoken and I will be happy if I can help other persons to learn spanish. I like sports, reeding books and computers.","Hello, I m from Valencia, and I have had several conversation exchanges, and I think it is a great way to learn a language. I want to practice my English spoken, and I will be happy if I can help other persons to learn Spanish. I like sports, reading books, and computers.",Spanish
760,My goal is to improve my speaking skills,My goal is to improve my speaking skills.,Spanish
761,I am looking for people that can help me to improve my speaking english and I can help them to improve their Spanish. I am an Spanish native speaker. I am look forward speaking with you.,"I am looking for people that can help me to improve my English speaking, and I can help them to improve their Spanish. I am a native Spanish speaker. I look forward to speaking with you.",Spanish
762,"Friendly, Im a student from a bilingual university, Im looking for improving my conversational english and make new friends in the process!, I have no problem helping you with spanish, hmu","Friendly, I'm a student from a bilingual university. I'm looking to improve my conversational English and make new friends in the process! I have no problem helping you with Spanish, hmu",Spanish
763,"I would like to do a language exchange Spanish-Polish or English-Spanish, mostly i need to improve my level English language quickly, for my job... and I'm starting to study Russian language.","I would like to do a language exchange Spanish-Polish or English-Spanish. Mostly, I need to improve my English language quickly for my job... and I'm starting to study the Russian language.",Spanish
764,"i like to learn language and i need to improve them, thanks","I like to learn languages, and I need to improve them, thanks",Spanish
765,"Hello everybody, i´m looking for people who wants to speak english with me, and of course i can practice spanish with you if you want, I'm looking for a conversation partner and a good friend thanks for reading me !","Hello, everybody, I m looking for people who want to speak English with me, and of course, I can practice Spanish with you if you want. I'm looking for a conversation partner and a good friend. Thank you for reading me !",Spanish
766,"Hello, let's go to learn, I live in Medellín Colombia I'm a spanish native speaker but I love to learn languages, My level un English and french is B2, don't hesitate and practice with me.","Hello, let's go to learn. I live in Medelln, Colombia. I'm a Spanish native speaker, but I love to learn languages. My level in English and French is B2. Don't hesitate and practice with me.",Spanish
767,"I would like to practice English with someone. If you Spanish level is intermediate, I can help you!","I would like to practice English with someone. If your Spanish level is intermediate, I can help you!",Spanish
768,I´ll travel to Canada next year and I would be glad if you help me to improve my english. Of course It is a pleasure for me to help you with your Spanish as well and I have no problem with the time difference.,"I ll travel to Canada next year, and I would be glad if you could help me to improve my English. Of course, it is a pleasure for me to help you with your Spanish as well, and I have no problem with the time difference.",Spanish
769,I am a African-Spanish nurse who is looking for someone to practice english. I can teach spanish in exchange since it is muy native language,I am a African-Spanish nurse who is looking for someone to practice English. I can teach Spanish in exchange since it is my native language.,Spanish
770,"Of Peruvian origin, I'm a sociologist that loves to be in touch with people. I am looking for a native or good-speaking English who would be patient and supportive to continue training this language, but also people that would enjoy to communicate in Dutch. I search people that like to share time talking frequently about different items, as culture, human rights and politics.","Of Peruvian origin, I'm a sociologist that loves to be in touch with people. I am looking for a native or good-speaking English who would be patient and supportive to continue training this language, but also people that would enjoy communicating in Dutch. I search for people that like to share time talking frequently about different items, such as culture, human rights, and politics.",Spanish
771,"I am learning English and French. I have a A2/B1 level in English, and in French I have A1 level. In addition, I am a native Spanish speaker. I want to improve my English and French.","I am learning English and French. I have a A2/B1 level in English, and in French, I have an A1 level. In addition, I am a native Spanish speaker. I want to improve my English and French.",Spanish
772,"English student looking for conversation partner, I can help you effectively with the Spanish and any question about the psniahs country/culture you might have.","English student looking for conversation partner, I can help you effectively with Spanish and any question about the Polish country/culture you might have.",Spanish
773,"I can help you with your spanish and italian. So if you want to talk, don't hesitate to contact me.","I can help you with your Spanish and Italian. So if you want to talk, don't hesitate to contact me.",Spanish
774,"I'd like to help other people to improve their Spanish and I would be happy to learn/practice their native language. Thanks to Couchsurfing and this website I've got many good Languages Exchanges in English, German, French and Italian.","I'd like to help other people to improve their Spanish, and I would be happy to learn/practice their native language. Thanks to Couchsurfing and this website, I've got many good language exchanges in English, German, French, and Italian.",Spanish
775,I would like to improve my English and teach you Spanish!,I would like to improve my English and teach you Spanish!,Spanish
776,"I would like to have somebody to practise my English, Im really motivated to improve it. I dont have any taboos, so we could talk about everything. At the same time I'll help you to learn Spanish, contact me if you are interested.","I would like to have somebody to practice my English. I'm really motivated to improve it. I don't have any taboos, so we could talk about everything. At the same time, I'll help you to learn Spanish. Contact me if you are interested.",Spanish
777,"I live in Lima and my native language is Spanish. I am a dentist with a Master's Degree in Dental Sciences. I love to socialize, meet people and learn from other cultures. I consider myself friendly and patient. I am interested in English for academic purposes, I would like to improve my ""speak"". I need to flow more in the language, we can talk about any topic. I will be happy to help you too.","I live in Lima, and my native language is Spanish. I am a dentist with a Master's Degree in Dental Sciences. I love to socialize, meet people, and learn from other cultures. I consider myself friendly and patient. I am interested in English for academic purposes; I would like to improve my ""speak."" I need to speak more in the language, and we can talk about any topic. I will be happy to help you too.",Spanish
778,"I'm currently studying english (I have FCE level) and I would like to improve my speaking. I have a native level of Spanish and Catalan, so I can help you with your Spanish/Catalan with patience and kindness! And if you want, I can show the city while we're learning the language.","I'm currently studying English (I have a FCE level), and I would like to improve my speaking. I have a native level of Spanish and Catalan, so I can help you with your Spanish/Catalan with patience and kindness! And if you want, I can show you the city while we're learning the language.",Spanish<br/>Catalan
779,"I’m active person, I love to learn new things what’s feel so excited to know new people, beside improving my english skill as well. I really think that this method could help myself to improve my English skills, maybe I’ll achieve to speak more fluency. Also, I’d really like to support you with the Spanish language.","I'm an active person; I love to learn new things and feel so excited to meet new people, beside improving my English skills as well. I really think that this method could help me to improve my English skills; maybe I'll be able to speak more fluently. Also, I'd really like to support you with the Spanish language.",Spanish
780,"I live in Puerto Madryn, in Argentina since 3 years. I like the english and french, actually i use the app Duolingo to study, but i think is important talk the lenguages with other people, or in my case, write with other people. I hope to find any people .","I have lived in Puerto Madryn, in Argentina for 3 years. I like the English and French, actually I use the app Duolingo to study, but I think it is important to talk the languages with other people, or in my case, write with other people. I hope to find some people to talk with.",Spanish
781,"I am recently moved to London. MoS in Energy Efficiency, sailor, I love photography, music, walk this magic city and visit museums. I want to improve my language skills exchanging with spanish conversation.","I recently moved to London. MoS in Energy Efficiency, sailor. I love photography, music, exploring this magic city and visiting museums. I want to improve my language skills by exchanging Spanish conversations.",Spanish
782,"I want to practice and learn English because I want to get an advance level. I like to share with people that think different, to know new cultures and have a good time. I hope to speak soon with you. Write me if you really want to learn and practice spanish! Time is Gold!","I want to practice and learn English because I want to get an advanced level. I like to share with people that think differently, to know new cultures and have a good time. I hope to speak with you soon. Write me if you really want to learn and practice Spanish! Time is Gold!",Spanish
783,"I want to pratice my english, I hope I could help you when you need it. I'm able to help you to learn spanish :D and help you to improve it.",I want to practice my English; I hope I can help you when you need it. I'm able to help you to learn Spanish D and help you to improve it.,Spanish
784,"Hello, I need to improve my English for a level test. I have worked as a teacher so in return, I can help you improve your Spanish. My interests are Art, traveling, photography, cinema, running, meeting people from all over the world who can speak and learn more about their cultures...I'm not looking for a partner, just improving my English skills. Please, only serious and committed exchanges, thanks. I hope to hear from you!","Hello, I need to improve my English for a level test. I have worked as a teacher, so in return, I can help you improve your Spanish. My interests are Art, traveling, photography, cinema, running, meeting people from all over the world who can speak and learn more about their cultures...I'm not looking for a partner, just improving my English skills. Please, only serious and committed exchanges, thanks. I hope to hear from you!",Spanish
785,"Hello, I would like to improve my level of English in conversation, 3-4 times a month on weekends.","Hello, I would like to improve my level of English in conversation 3-4 times a month on weekends.",Spanish
786,"Hi, if I'm online that means that I'm really bored. If you are funny write to me please!!","Hi, if I'm online, that means that I'm really bored. If you are funny, write to me, please!!",Spanish
787,"I'm new in Dublin and I would like to know Irish people to conversation exchange. I like sport, music and culture. I'm not a great social drinker, so I prefer coffee and a good conversation.","I'm new in Dublin, and I would like to get to know Irish people for conversation exchange. I like sport, music, and culture. I'm not a great social drinker, so I prefer coffee and a good conversation.",Spanish
788,I am a Software develop from Argentina who wants to improve his English.,I am a software developer from Argentina who wants to improve his English.,Spanish
789,"Hi, it would be a pleasure to meet you. I'm interested in meeting people speaking different languages. I have an open mind and talk about everything. I want to help you learn Spanish. if you are interested in a conversation exchange. don't hesitate to contact me.","Hi, it would be a pleasure to meet you. I'm interested in meeting people speaking different languages. I have an open mind and can talk about everything. I want to help you learn Spanish. If you are interested in a conversation exchange, don't hesitate to contact me.",Spanish
790,"I'm Gerard, a nurse in Barcelona, and I'm looking for someone to exchange. English is very important in my day to day, so I want to improve my level. I also want to practice french. I will be happy to help you with your spanish or catalan!","I'm Gerard, a nurse in Barcelona, and I'm looking for someone to exchange. English is very important in my daily life, so I want to improve my level. I also want to practice French. I will be happy to help you with your Spanish or Catalan!",Spanish<br/>Catalan
791,"Hello I am ✪ Josseph✪, I live in ♥ Sevilla- Spain ♥ , My level English is B1-B2, I need to improve it for my Job(Software Developer). ✔ If you are searching a FUNNY PARTNER ☻ ► Send me EMAIL OR WHATSAPP NUMBER◄ ♫ Hobbies ♫: Music, Dance Salsa, Play the guitar,Crossfit, Futbol, Surf, Technology and meet new people and culture. ✪ I teach you good pronunciation and writing, useful phrases and distinct dialects.I am very patient and I have sense of humor ✪ ◈ SEND ME YOUR EMAIL OR WHATSAPP NUMBER◈","Hello, I am  Josseph , I live in  Sevilla, Spain , and my level of English is B1-B2, I need to improve it for my Job (Software developer).  If you are searching for a FUNNY PARTNER   Send me an EMAIL OR WHATSAPP NUMBER  Hobbies  Music, Dance Salsa, Play the guitar, Crossfit, Futbol, Surf, Technology, and meet new people and culture.  I teach you good pronunciation and writing, useful phrases, and distinct dialects. I am very patient and I have a sense of humor   SEND ME YOUR EMAIL OR WHATSAPP NUMBER ",Spanish
792,"Who does not want to have fun while learning. Chatting is fun, you find new friends and learn the most from the best source, right? :) My mother language is Spanish and I am fluent in Basque. Now I want to improve my English.","Who does not want to have fun while learning? Chatting is fun; you find new friends and learn the most from the best sources, right? :) My mother tongue is Spanish, and I am fluent in Basque. Now I want to improve my English.",Spanish
793,"I’m friendly open minded with a good sense of humour. I’m hoping to meet a long-term friendship. I can chat with regularly, learn about their culture and become friends with! I hope you are friendly, open minded have time to chat! If you're looking for a language exchange, It would be my pleasure to help you with Spanish and improve my English, Japanese, Chinese or Italian.","I'm friendly, open-minded and with a good sense of humor. I'm hoping to meet a long-term friendship. I can chat with them regularly, learn about their culture and become friends with them! I hope you are friendly, open-minded and have time to chat! If you're looking for a language exchange, It would be my pleasure to help you with Spanish and improve my English, Japanese, Chinese, or Italian.",Spanish
794,"I'm a Spaniard, living in Madrid, and I would like to find someone to practice my English with, I would help with Spanish in return. I love making new friends and getting to know more about their culture.","I'm a Spaniard living in Madrid, and I would like to find someone to practice my English with. I would help with Spanish in return. I love making new friends and getting to know more about their culture.",Spanish
795,"I came here to meet new people from around the world and achieve my goal to finally be able to speak English fluently, I can help with Spanish and we can chat on another messenger app if that makes things easier, see ya!","I came here to meet new people from around the world and achieve my goal to finally be able to speak English fluently. I can help with Spanish, and we can chat on another messenger app if that makes things easier. See you soon!",Spanish
796,"Hi everybody, I am a Spanish guy currently living in Tromso and I would like to learn a bit of Norwegian and improve my English level. In exchange I would help with Spanish and/or catalan.","Hi everybody, I am a Spanish guy currently living in Tromso, and I would like to learn a bit of Norwegian and improve my English. In exchange, I would help with Spanish and/or Catalan.",Spanish
797,"I learn English and Japanese. I want to improve my english and I also want to learn japanese. Im graduate in biology and im going to do a PhD. I also love videogames, anime and internet culture in general. If you want to practice spanish i can help you. Feel free to contact me.","I learn English and Japanese. I want to improve my English, and I also want to learn Japanese. I graduated in biology, and I'm going to do a PhD. I also love video games, anime, and internet culture in general. If you want to practice Spanish, I can help you. Feel free to contact me.",Spanish
798,"I want to exchange my language of spanish to english, because I want to pratice it. I would like to coneect with you to practice 5 times a week, one hour. And if anybody wants to practice spanish I have time to practice with you too.","I want to exchange my language of Spanish to English because I want to practice it. I would like to practice 5 times a week, one hour. And if anybody wants to practice Spanish, I have time to practice with you too.",Spanish
799,I would like to improve my English because I want to study abroad.,I would like to improve my English because I want to study abroad.,Spanish
800,"I really want to practice my english , make friends and more.,i can help with the Spanish, i'm a native speaker. ..(.I don't know how to describe me in this section,) so... if you want to talk about differentes thinks , i'm here. I can use Discord and Whatsapp too !","I really want to practice my English, make friends, and more. I can help with Spanish, I'm a native speaker. ..(.I don't know how to describe myself in this section,) so... if you want to talk about different thoughts, I'm here. I can use Discord and Whatsapp too !",Spanish
801,I'm student and I would like to talk with someone and practice my English. I can help you with your Spanish too. We can talk about any topic,"I'm a student, and I would like to talk with someone and practice my English. I can help you with your Spanish too. We can talk about any topic.",Spanish
802,"I´d like to improve my english, and help you to learn spanish and understand our culture .We can go for a drink,coffe,just take a walk, and spend a good time while exchange languages.","I d like to improve my English and help you to learn Spanish and understand our culture. We can go for a drink, coffee, just take a walk, and have a good time while we exchange languages.",Spanish
803,I want to improve my english,I want to improve my English.,Spanish
804,I would love to learn English. I am a friendly person and we can talk a lot. I can help with your Spanish. I also love talking about culture and traveling.,"I would love to learn English. I am a friendly person, and we can talk a lot. I can help with your Spanish. I also love talking about culture and traveling.",Spanish
805,"Hi, I live in Barcelona and I'd like to improve my English, talking with somebody, in exchange I can help you with your Spanish. I would like to find somebody to chat regularly (once a week or so). (Preferably women).","Hi, I live in Barcelona, and I'd like to improve my English by talking with somebody. In exchange, I can help you with your Spanish. I would like to find somebody to chat with regularly (once a week or so). (Preferably women).",Spanish
806,"Hi, It would be a pleasure to meet you and have fun and interesting conversations.","Hi, It would be a pleasure to meet you and have fun and interesting conversations.",Spanish<br/>Catalan
807,Primary Teacher,Primary teacher,Spanish
808,"I'm a Spanish speaker looking to practice English as well as French. I'm a fan of reading, movies (all genres), traveling, culture, coffee and Footing. What about you?","I'm a Spanish speaker looking to practice English as well as French. I'm a fan of reading, movies (all genres), traveling, culture, coffee, and footing. What about you?",Spanish
809,"I would love to improve my English communicative skills. I don't have too much time, but I will appreciate your help. I am a Spanish teacher, so I would help you with my language. [Please, don't contact me for other purposes]","I would love to improve my English communication skills. I don't have too much time, but I will appreciate your help. I am a Spanish teacher, so I would help you with my language. [Please, don't contact me for other purposes]",Spanish
810,"I´m Spanish, I live in Madrid. I´m studying English and I would like to speak English to native English speakers. I´m interested in improving my English. I can help you to improve your Spanish.","I m Spanish, I live in Madrid. I m studying English, and I would like to speak English to native English speakers. I m interested in improving my English. I can help you to improve your Spanish.",Spanish
811,"I would like to improve my spoken English, in exchange I would love to help anyone who wants to learn or improve their Spanish or Catalan! I am an easy going person and very patient. Feel free to say 'Hello' ! Enjoy life and see you soon!!","I would like to improve my spoken English; in exchange, I would love to help anyone who wants to learn or improve their Spanish or Catalan! I am an easy-going person and very patient. Feel free to say 'Hello' ! Enjoy life and see you soon!!",Spanish<br/>Catalan
812,I'm trying to improve my conversational English talking with any kind of people.,I'm trying to improve my conversational English by talking with any kind of people.,Spanish
813,"I'm Juan David, from Spain. I'm looking for people to increase my English skills and the same time help people to learn Spanish. I'd prefer that these are face to face. Thanks in advance.","I'm Juan David, from Spain. I'm looking for people to increase my English skills and, at the same time, help people to learn Spanish. I'd prefer that these be face to face. Thanks in advance.",Spanish
814,"Hi, I would like to practice my conversation in English, improve my flow. I appreciate a person that make me aware of my mistakes. I am glad to help with the Spanish in the same manner. I can chat every day and weekends, at the evening too. I am in Australia ((GMT+11) Time in Sydney NSW, Australia).","Hi, I would like to practice my conversation in English, improve my flow. I appreciate a person who makes me aware of my mistakes. I am glad to help with Spanish in the same manner. I can chat every day and weekends, at the evening too. I am in Australia ((GMT+11) Time in Sydney, NSW, Australia).",Spanish
815,"I would like to be able to learn and teach languages, in my case to teach Spanish which is my mother tongue, and to learn German and English which are languages that I love.","I would like to be able to learn and teach languages, in my case, Spanish, which is my mother tongue, and to learn German and English, which are languages that I love.",Spanish
816,"Hello, write me, so we can practice the spanish language and learn our cultures.","Hello, write to me, so we can practice the Spanish language and learn our cultures.",Spanish
817,I’m a native Spanish speaker from Spain who want to improve her English. If you need to improve your Spanish/ Castilian or you are living in Madrid (Spain) let me know!,"I'm a native Spanish speaker from Spain who wants to improve her English. If you need to improve your Spanish/ Castilian or you are living in Madrid (Spain), let me know!",Spanish
818,"If you’re bored of trying to speak with a perfect Spanish accent, let’s have a chinwag with acento rioplatense: youtu.be/Pi_JG-OyaVA Let’s make «My name’s Jessica» sound like: «Scho me schamo Schésica» and have a laugh, just for fun and for the sake of being alive.","If you're bored of trying to speak with a perfect Spanish accent, let's have a chinwag with acento rioplatense: youtu.be/Pi_JG-OyaVA. Let's make ""My name's Jessica"" sound like ""Scho me schamo Schésica"" and have a laugh, just for fun and for the sake of being alive.",Spanish
819,"Hello
I am from Uruguay, I am a native Spanish speaker. I am looking to meet someone who can help me practice my English and . I am a computer engineer, I like to travel and meet new people. If you want I can help you with your Spanish, I like to talk about any topic.","Hello, I am from Uruguay. I am a native Spanish speaker. I am looking to meet someone who can help me practice my English. . I am a computer engineer. I like to travel and meet new people. If you want, I can help you with your Spanish. I like to talk about any topic.",Spanish
820,"Hello, I´m Laura from Alicante, I'd like to practice english to maintain my level and of course learn something else from english and other people:) I just updated my profile and included Italian as I've been living for so long with italian people and now I don't want to loose what I learnt, Mi piace tantissimo:)","Hello, I m Laura from Alicante. I'd like to practice English to maintain my level and, of course, learn something else from English and other people. :) I just updated my profile and included Italian as I've been living for so long with Italian people, and now I don't want to lose what I learnt. I piace tantissimo :)",Spanish
821,I would like to improve my fluency in spoken English. I am also starting to learn Japanese and Norwegian (total beginner level). If you are a native speaker of any of these languages I can help you improve your Spanish. Feel free to contact me. I am very interested in the language learning process and the advantages of linguistic immersion from the very beginning. Thank you very much!,"I would like to improve my fluency in spoken English. I am also starting to learn Japanese and Norwegian (total beginner level). If you are a native speaker of any of these languages, I can help you improve your Spanish. Feel free to contact me. I am very interested in the language learning process and the advantages of linguistic immersion from the very beginning. Thank you very much!",Spanish
822,"I would like to improve my English, I currently go to an English school, but although I have no difficulties with grammar, I get nervous when I have to speak English. I would like to exchange English classes for Spanish (Castilian) or Catalan classes, I speak and write both fluently since they are my mother tongues.","I would like to improve my English; I currently go to an English school, but although I have no difficulties with grammar, I get nervous when I have to speak English. I would like to exchange English classes for Spanish (Castilian) or Catalan classes. I speak and write both fluently since they are my mother tongues.",Spanish<br/>Catalan
823,"I am Monica and I am from Ecuador and I have been in London from 2010. I would like improve my english and I help you with my spanish
I am a good person my objective is to practice my English and to make friends. I hope hearing from you","I am Monica, and I am from Ecuador, and I have been in London since 2010. I would like to improve my English, and I can help you with my Spanish. I am a good person; my objective is to practice my English and make friends. I hope hearing from you.",Spanish
824,"I want to practice for improve my english hablilities, I like talk about any topic and have fun!",I want to practice to improve my English language skills; I like to talk about any topic and have fun!,Spanish
825,"I'm a English learner, I love the language and culture behind it. I'm from Colombia and I'm exciting to make new friends.","I'm a English learner; I love the language and culture behind it. I'm from Colombia, and it's exciting to make new friends.",Spanish
826,I just join this page hope a lot of practice,I just joined this page and hope a lot of practice.,Spanish
827,"I want to practice English with a native English speaker who is interested in practice and learn Spanish. I work in human resources. I love to travel and to know new cultures, for that reason I love languages. I prefer to have conversations, I need to improve my speaking. Greetings and we are in touch!","I want to practice English with a native English speaker who is interested in practice and learning Spanish. I work in human resources. I love to travel and know new cultures; for that reason, I love languages. I prefer to have conversations; I need to improve my speaking. Greetings, and we are in touch!",Spanish
828,"I'm José , I'm Peruvian and I live in France I am learning English and French, Don't hesitate to write to me, I will be happy to help you :)","I'm José. I'm Peruvian, and I live in France. I am learning English and French. Don't hesitate to write to me. I will be happy to help you :)",Spanish
829,"Hey :)
I would like to share my knowledge and be able to help you with Spanish. I want to improve my English as well.","Hey, I would like to share my knowledge and be able to help you with Spanish. I want to improve my English as well.",Spanish
830,"Hi, I`m Antonio from Málaga (Spain), I would like to improve my English in order to teach and speak English with to my two kids (3 and 5). I am a Spanish native speaker, you can learn Spanish with me!. I am interested in speaking using any video chat.","Hi, I'm Antonio from Málaga (Spain), I would like to improve my English in order to teach and speak English with my two kids (3 and 5). I am a native Spanish speaker; you can learn Spanish with me!. I am interested in speaking using any video chat.",Spanish
