,id,native,language,probabilities,english_only,text
2453,3522.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Chinese (Mandarin)', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Chinese (Cantonese)', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}]",[en:0.999995957911071],True,"Hi there, French born Chinese, I would like to improve my mandarin/english. I am looking for truly motivated people for regular language exchange sessions. I will also do my best to help you with your French or Cantonese. Just drop me a message if you are interested ;) See ya !"
2454,3524.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974885348324],True,"Hi everyone ! I'm a French nurse living in Lyon and I want to improve my English. I fell in love with this language and I also think that English is very usefull to communicate with people from all around the world! Also, I would be happy to help you learning French and maybe to show you some nice places in Lyon :-) Hope to see you soon!"
2456,3526.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999967666364453],True,"Hello! (Y hola todos !) I'd like to be at ease when I speak english and not searching for a word every 3 words ^^'. I have lived a bit in London few years ago but now I don't have the occasion to practice it and I feel like I regressed a lot. I like hiking, art, photography, diy, a lot of things can interest me actually! (I'm trying to learn spanish too, so maybe I'll try to practice it here later (so far I'm reaaaally beginer. Estoy tomando curso de espanol, quiza probaré a hablarlo.)"
2457,3530.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999994898642982],True,"I would like to improve my English because... I have a bad pronociation, soetimes I'm not to bad but, sometimes I'm the worst. I need to be better with the verb tenses when I have conversation. I often mixed up my English because I often thinking in French when I want to talk in English."
2458,3531.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.999998275677922],True,Hi! I would like to improve my english skills...i'm preparing my world trip and it would be easier if i get a better english... Is there someone to help me? I help you with french in return :)
2459,3532.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999957739532397],True,"Hello, my Name is Diana, I'm French and I live in Paris. I'm looking for someone to help me improve my English. I would like to speak with a native english person (Face to face or other). I’d be glad to meet people and happy to help you with your French in return."
2460,3533.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]",[en:0.9999972166418221],True,"Hi everyone ! I am looking for an english penpal. I'd like to improve my conversation skills. In exchange, I can help you with your french. See you soon ! :-)"
2461,3538.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974706963984],True,"Hey ! I'm Xavier, i'm french and i'm 25 years old. I'm looking for a correspondant who comes from USA, because i need to practice my english, and why not my correspondant could visit me at home in France, and i could visit her/him at her/his home :). I love to learn new skills and travel, i'm a simply guy, so don't hesitate to speak with me :D Thanks for reading my description and i wish you the best !"
2462,3539.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999977033160228],True,Hey I’m Cathya. I’m 18 and I would like to practice my English.
2463,3540.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999984464827233],True,French retired lawyer with a good command of English an Spanish
2464,3543.0,French,"[{'language': 'Czech', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999952671223185],True,"Ahoj, I would like to improve my czech with a native speaking person, in return I will be glad to help you if you learn french. Looking forward :)"
2465,3544.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999971638429918],True,"Hiii :)) I'm Flavy, 18 and living in France. I'm here because I really need to improve my english skills especially for my studies / work. I also want to learn korean and discover this culture because I plan to live in Korea after my studies for my work but I don't know where to start. So, I'm looking for any natives or good english / korean speakers in order to chat and, maybe, become friends ! I can also teach you french if you wish. I would be delighted to introduce you to our culture ^^"
2466,3546.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970541269148],True,I m Aurélie and l would like too be fluante in English for make business .
2467,3549.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Bahasa (Indonesia)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Arabic (Moroccan)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999965716342614],True,"Hello, I’m Nico and I’m here to improve my English but not only that maybe find friends that can help me learn other languages such as Japanese/Spanish/Bahasa (Indonesian) and also Darija! If you’re interested only in chatting to improve your skills in English or French hmu!"
2468,3551.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999968036731008],True,Here to learn new languages and talk to nice people.
2469,3552.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999990113809806],True,Hi everybody. I'm still looking for English and Spanish people who want to improve their French. My English level is upper intermediate but I'm a beginner in Spanish.I'd like to find somebody who won't hesitate to CORRECT me (I'll do the same for you) because having opportunities to speak with a native is very nice but being corrected is even nicer. Isn't it ? It can be fun and challenging. I'm as motivated to learn as to help you. Don't hesitate to contact me to try. Hope to hear from you soon.
2470,3553.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999953582304646],True,"Hi I'm from France. I'd like to practice my English , , just talk to people to make progress! I'll be happy to help you with your French !! Have a nice day !"
2471,3554.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996423474585],True,"Hello I'm 45 year old and a mother of Three daughters , i enjoy taking time to discuss with people from different horizon to learn about other culture and other person also. Taking a virtual coffee break with some of you will be a pleasure to practice in a more informal way my english and helping you to learn french too. Look forward to speack with you"
2472,3555.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571391521429209, hr:0.14285667060560184]",False,"Hi, nice to meet you, i'm Lynn :) Hope you have a nice day !"
2473,3556.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996351263671],True,"Hello, I Speek French and I want to practice my English. I need to talk in English and I want to find someone to have this the opportunitie. I can help you with your french conversation. I love to learn about other country, history... I want to find someone to take one or two times a week for 20 to 30 min. Allo, je parle français et je veux pratiquer mon anglais. J'ai besoin de parler avec un anglais d'origine, j'ai donc besoin de trouver quelqu'un pour avoir cette opportunité."
2474,3557.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972075631562],True,I am Junaid recently I have completed my graduation now I am doing IELTS course. I will go to study abroad. It's really important for me to practice with a English native speaker to do well in speaking module of IELTS test
2475,3560.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964855035722],True,"Hi, I just subscribe me to exchange with other people. i want to improve in English. I am available to make call if you want."
2476,3561.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999956429837324],True,"I am in second French preparatory class (scientific) to prepare the contest to access to best french schools of engineering. I like (and I do) travels, I'm crazy about music (except metal and rave musics). I practice tennis, ski; I'd practice table-tennis, handball, swimming, wind boat. I would like to improve my English, and, why not, help someone to learn french, and know new guys."
2477,3562.0,French,"[{'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966631567943],True,"Hi i'm Alex, 24 years old, P.E teacher, need improve my italian &amp; english by the way. I will travel in Italy to discover how works Handicap system because I work with mentally disabled childrens."
2478,3563.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999935520122235],True,"Hi! I really need to improve my skills in english because it's necessary for my dream job to talk well in this language (and maybe another but I'll think about it later). Otherwise, I'm really friendly but just a little shy at first. I do have many hobbies which change and evolve regularly, meaning I could talk forever about anything. Hope we'll become good friend, Cass."
2479,3564.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999975842549433],True,"Hello, I am convinced that you must speak the language you are studying to be able to learn it. I live in Brussels, in Belgium since 1998. I speak french, dutch, armenian, russian. I am interested in edible and medicinal plants. I learn to recognize them and from time to time I pick them for my personnal use and for my friends."
2480,3566.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966293080836],True,"Hi there ! I am French and I live in France, I started to learn English with websites, about two years ago, then I continued with Conversation Exange, I met fabulous people who learned me a lot, and now I can have small dialogues. I'm not fluent, but I'm starting to express myself better. I would like to continue, I will be happy to speak English with you and also to help you to speak French, I will be patient. Looking forward to reading you !"
2482,3568.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}]",[en:0.9999983566081453],True,"Hello, I would like to practice my english, I can offered you french, I am a native speaker ! I don't want to have à date !!!"
2483,3570.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971886168042],True,"Hi everybody, I'm Mélanie et I'm 29. I'm from a city in the south of France. I've lived near Paris for 3 years. I really like to discover new places in Paris and go out for a walk. I feel more confortable writing and reading in english than speaking in english. I need to practise and speak in english. Also, il you want to learn french, I could help you to be more confident. I would be very happy to learn you french culture as well :)"
2484,3572.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976564586388],True,"Hello I 'm a French native speaker living in the south of France, I am trying to improve my English and I would be glad to help you in French. I work in IT, I like reading, music, languages etc.. I am interested by a lot of subject. I am very patient, so don't worry if your French level is not high and if you need some time for thinking before to speak, it's normal, we are on this website for learning. En attendant de vous lire..."
2485,3575.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571404722114221, da:0.14285911270860507]",False,Hi ! I'm Lana from France. I looooove foreign languages and I'd like to have a foreign friend too.
2486,3576.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995981620937],True,"Hello, i love english and i would like to improve mine. I'm now a mom and i have no Time to study english so i prefer to talk to someone with the same interests (i mean education, cooking, cleaning ... ), I Am a psychologist and i Am at home for a moment. See you soon !"
2487,3577.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976414221878],True,"Hello! :) I would like to improve my English for my new job…! This would be really helpful honestly to speak in English (my manager is American and I have difficulties to understand his accent…) So, if you are interested to learn, or improve your French, that’s could be great for both of us :) !! See you soon, Cécile"
2488,3578.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.999997418637588],True,"I'm right there only for talk and improve as musch I can my english. I would like to meet someone who can rise me at a good level, I have to clearify that I'm already in a relationship, I know it can be weird to say it, but better to my girlfriend relation safety. I did not specify on my profile, but I'm interest on learning others languages or any foreign culture. I'm cool by the way do not worry about :) ."
2489,3579.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Dutch', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999980643697458],True,Hi I’m French and I study foreign languages at the university and I want to improve my English by practicing and chatting with people. I’m really sorry my English is not perfect yet. I’m curious to discover other cultures and other way of life. I want both get to now someone and improve my English at the same time.
2490,3580.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971586012393],True,"Hello Ladies and Gentlemen, I would like to improve my spoken English. I will be very interested to talk with you in both languages; (French and English). We can talk about any topic throughout the meeting in open mind way, it is not necessary that it be a too formal conversation but that is possible too, of course. My motto is to be relax, easy-going and joyful. Nevertheless, I am also very motivated and I wish to be a good partner for you, so that, we have a regular pleasant and fun meeting."
2491,3584.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999947613237787],True,"I'm just an IT engineer looking for a speaking partner to improve my english skills. It will be great if we share common hobby. I like soccer, reading manga and watching anime"
2492,3586.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980646264627],True,I would like to talk english with members.ANd i can help people with french and english if they want. :) For those who want to learn french. you are welcome.
2493,3589.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999967105244029],True,I am looking for people whom could help me to speak english fluently and spanish and polish.
2494,3590.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974718061301],True,"I would exchange with peopke who talk English because I would like to practise English language. So, I would talk about many various subjects in English."
2496,3592.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951541549839],True,I'm from Belgium and I speak French. I would like to improve my English speaking and listening. I'm in London untill the 25th of January and I would love meeting you in person too.
2498,3596.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965670626769],True,"Hi, I am a french man, living in Paris. I will be pleased to have an English/French exchange with English mother tongue people. I would like to improve my English just for fun (and also for travelling). Of course, I will be pleased to help you with your French. We can plan a conversation during a walk or a drink, as you prefer. Hope to hear from you soon. Jean-Marc"
2499,3597.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999947611935724],True,"Hi, My name si Anastasia, I live in Malta and would like to improve english."
2500,3598.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965709713129],True,"Chers English Native Speakers ! Why am I here? For my future job (I'll pass an exam to check my level by the end of the year and would like to reach the European level C1) and... because I plan to visit Scotland (especially Highlands) next year. Also to share with new people and better understand other cultures. On my side, I'll be happy to help you to improve your French skills. Looking forward to reading you &amp; meeting you around a tea, a coffee or a drink. Michelle"
2501,3599.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967566182904],True,"Hello everybody, I’m French boy and I am looking for a English correspondent to progress"
2502,3600.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974194368746],True,I'm a medical doctor. I would like to chat on various topics in order to improve my fluency and my confidence in english. Of course I would be happy to help improving your french!
2503,3602.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999950148808618],True,"Hello everyone, I would like to learn english that why I here to ask your help. Best regards"
2504,3603.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963682777709],True,Dear I would like to improve my english language and I am convainced I need to practice to do it. So I will apreciate your help. Thanks in advance Best regards Jimmy
2505,3604.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964779026419],True,I would like to improve my vocal practice in English. I plan to settle in London next year for my work). So I am looking for somebody who could help me. In exchange I am pretty good in French
2506,3606.0,French,"[{'language': 'Chinese (Mandarin)', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999988538058597],True,"I want to develop my English continuously and enjoy my few weeks in English territory. I am willing to help someone in French, I speak it very well. I enjoy travelling and discovering new cultures as this is how we learn in life. I am also available to help in Spanish or Chinese if you speak it as well as English."
2507,3607.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972595415292],True,New here. I’m learning english and I want to practice with other people
2508,3608.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962920064582],True,"Hey, I'm Nicky and I'd like to improve my English and I would be happy to help in French. Feel free to contact me. See/read u soon"
2509,3609.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999931521180283],True,"I am a tunisian student how want to improve his english by making Friends. I love travelling, so it will help me a lot to speak teé language as if it were my mother language. I also want to study in the United states in a few years. If you Want to learn in the same Time the french, i Can help."
2510,3610.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996787086571],True,I live in Gatineau. I am a French speaker (native) and would like to improve my English. I am looking for english native speakers for language exchange.
2512,3612.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.7142844052295798, fr:0.28571510165614505]",False,"Bonjour à tous, J'apprends l'anglais et je souhaiterais échanger avec une personne dont la langue maternelle est l'anglais. Je vis actuellement en France (Saint Brieuc en Bretagne). Hello, I would like to impove my English and help you to improve your French. I prefer to have one or two language partners but in a serious process of learning and regularity. See you soon"
2514,3617.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962308396451],True,"Hi, I'm french and would like to practise conversational english. I can read or watch tv in english but my spoken english is not really good. In return, I can help you to improve your french :-) Regards."
2515,3618.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999962491759098],True,"Hello ! I would like to improve my english, and if it's around a nice conversation it's even better! I have some vocabulary and basics in japanese but it goes away when you don't practise. Gambarimasu ;)"
2516,3619.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960208340922],True,"hello everybody, I am looking for someone to help me to improve my englih because I practice it every day in my work. I can help you with your french. Don’t hesitate to contact me."
2517,3620.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973354792221],True,"Hello everybody, I would like to improve my english skills because I like to travel around the world. I often meet English speakers during my trips. I can help you in return in French, I am a native speaker. Bests regards."
2518,3621.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999956166965576],True,"I wish to improve my English and meet new people. I could help you learn French with different levels (basic conversations, professional notions, conjugation, spelling and grammar). I will also be able to adapt to your specific needs. I'm open-minded. See you soon"
2519,3622.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999954646204977],True,"Bonjour I want to improve my english and make a new friends :) I can help you in your french also to visit Paris. I like to go out, walking in Paris, travelling. Feel free to write me Regards"
2520,3625.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997961772031],True,"I'm a kind person and really want to learn English especially with native Americans. I know I still have many things to learn and practice but it doesn't discourage me I'll make mistakes. As a result, by these mistakes I'll perfect myself."
2521,3626.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Thai', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999977939431665],True,"hey, i'm Lola. i would like to go to international university in South Korea but I need to improve my English (I plan to go to the United States for 2 years after graduation) and I would like to learn the Korean language and culture. There are also many other languages and cultures that I want to learn so don't hesitate."
2522,3627.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960518427409],True,Hello everyone :) I’m Charlotte i come from paris!! i speak french and i am here to improve my english and help you with your french! I am here to talk with everyone (même les francais) so don’t be afraid and lets become friends ;) you can add me on snapchat: charlottedsb0 or insta: charlotte.desbas
2523,3629.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999950400779458],True,"Hello, I'm Anthéa a French/polish girl , 23 years old and I have a lot of hobbies !! I'm really would like to have a friend who can teach me the Polish ???? I tell more informations in private ☺️"
2525,3632.0,French,"[{'language': 'Spanish', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999949139413621],True,"Hello! After a few years without practicing English, I would like to be able to ""restart"" it for professional reasons, but also to better understand Anglo-Saxon cultures. I am passionate about music (I have been playing guitar for a very long time), the arts in general, travel and sport. También, quiero seguir practicando mi español (viví unos años en Madrid). Je suis quelqu'un d'ouvert d'esprit et curieux des autres cultures. N'hésitez pas à me contacter!"
2528,3641.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980505564124],True,"Hi :) I'm native french from Paris so I'm sure i can help you with your french ;) i'm Producer, singer-guitarist and songwriter and as i sing in english i would like to improve my english and my pronunciation. A bientôt !"
2530,3646.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Gaelic (Irish)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999951079470136],True,"I live in France, in Drôme. I'd like to meet people to practice English language with. I would help them to become more proficient in speaking French with pleasure. I would be glad to talk with people from Ireland for I plan to visit this country in the future. I also plan to learn Irish Gaelic, but... later... :) I'm also interested in Italian and Russian languages. I'm a computer scientist and a Shiatsu practitioner on humans and horses. I'm currently learning the Tin Whistle."
2531,3648.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.7142846096014579, fr:0.2857144752804714]",False,"Hello. I like English language and I like meet people. Perhaps we can exchange about our lifes, hobbies, culture, etc.. It would be great if I can help you and if you can help me. It’s so interested knowing new people. N'hésitez pas à me contacter si vous êtes ”réellement” intéressé (e) par un échange pour améliorer votre Français. Je suis sympa et amicale. Petits rigolos et faux profils just go away! I prefer having an exchange with people from my generation ( After 50 ) Thanks. See you soon"
2532,3649.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999965576509283],True,Hi ! I'm a french school teacher. I live in a small village. I lived in Paris for my studies so I know this town very well. I'm interesting in learning english and especially knowing american culture but also british culture. I have three kids and a job which take me a lot of time so it's easier for me to do written exchanges or in person exchanges. Je parle aussi un peu allemand. J'aime beaucoup cette langue mais l'ai beaucoup oubliée! Je serais ravie d'échanger avec mes voisins allemands !
2533,3653.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964124207137],True,I would like to improve my English and discover English culture :) and I would be pleased to help for French language. Thanks
2534,3654.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999963877133713],True,Hey ! I'm Dorian. I would like improve my english in order to pass my exam and I'm open to learn Italian !
2535,3656.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970389995663],True,"Language exchange is my priority, learn ."
2537,3659.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]",[en:0.9999947373309734],True,I want to improve my skills in English after many years studying. My goal is to talk with anybody in the entire world and meet people to chat ... I'd like to help you improving your French language! J'aimerais un échange de 15' par semaine dans chaque langue. A bientôt
2538,3660.0,French,"[{'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966358043996],True,"Hello, Bonjour, I am looking for a Korean friend who can teach me about korean language and culture. And also, I can help you to improve your French and English in exchange. Please do not hesitate to contact me and I will be very appreciated to share with my culture. Thanks a lot!!!"
2539,3661.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999980415779715],True,"Hi, I'm a French native who use to be able to speak some English and Japanese.. My language skills are kind of rusty right now and I hope to find people to have conversation with and enjoy speaking a foreign language again. I'll be happy to have conversation in French as well, and I'll do my best to help. 日本語が下手なフランス人ですけど、日本語で会話をしてみたいです。 フランス語を手伝える自信はあります。 よろしくおねがいします。"
2540,3662.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960717841013],True,"Hello ! I'm a belgian (young) teacher, I speak french (obviously). I'm here for practicing english (I learned at school and with some TV series). I loose my english because i'm not practicing so I want to speak (or write to...). I've a intermediate level (I hope so... ????) I can help you with your french if you help me with my english skills. I love reading, photography, travelling, riding and take care of my horses, and FOOD! Have a nice day :) NB : I'm in love with Ireland ????????"
2541,3663.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951622039174],True,"Hello, I am a computer sciences engineer and i live near Paris. I want to imporve my English skills because it is a basic and important language for my work. I am ready to help you in French. Feel free to contact me :) Regards."
2542,3665.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970910129081],True,"J'habite proche Paris 18ème. I am looking for a native english living in Paris to exchange around a coffee and to speak half english half french ! Dans ma tranche d'âge serait un plus ! (45-50 environ). My english level is intermediate, and I really need to practise ! Of course I will also help you to improve your french ! ;-)"
2543,3667.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",[en:0.9999956562674019],True,"Hello, I'm Emma. Currently a student I am looking for a correspondent to improve my practice of the following languages: English, Spanish and German. I also consider it a great opportunity to meet other people but also to learn from them. I am an open-minded and accessible person."
2544,3668.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971437282519],True,"Hi, I’m searching someone to be my correspondent. I would like to improve my English just for me and also because I have an exam next year full in English. I can teach you french if you want too. I don't want boyfriend or anything else, I just want talking. I hope you'll be interested !"
2545,3669.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999964154025986],True,"Hi, I'm a native French speaker living in Montreal since 2014. I would like to improve my English speaking skills mainly for my work (I'm an engineer) but also to meet new people. I like learning new languages. I have basic knowledge of Spanish and Mandarin and I would also like to work on these two languages. Ideally, I will find a partner to exchange on a weekly basis. I can help you with your French, written or spoken. Looking forward to speaking with you."
